Extrema pobreza;1.1
Vulnerabilidad extrema;1.1
Carencia de necesidades básicas;1.1
Acceso a servicios sociales;1.1
Exclusión económica;1.1
Dificultades de subsistencia;1.1
Desigualdad económica extrema;1.1
Necesidades insatisfechas;1.1
Pobreza multidimensional;1.1
Pobreza rural;1.1
Marginación económica;1.1
Desarrollo humano básico;1.1
Dificultades de acceso a la educación;1.1
Acceso limitado a la atención médica;1.1
Empoderamiento económico;1.1
Oportunidades económicas limitadas;1.1
Erradicación de la pobreza absoluta;1.1
Privación crónica;1.1
Inequidad social;1.1
Bajos ingresos;1.1
Inclusión económica;1.2
Reducción de la pobreza;1.2
Desigualdades de género;1.2
Discriminación económica;1.2
Empoderamiento económico de la mujer;1.2
Acceso a recursos económicos;1.2
Igualdad de oportunidades económicas;1.2
Desarrollo humano sostenible;1.2
Trabajo decente y crecimiento económico;1.2
Protección social;1.2
Acceso a servicios de salud;1.2
Acceso a servicios educativos;1.2
Participación en la toma de decisiones económicas;1.2
Acceso a servicios financieros;1.2
Igualdad de acceso a recursos productivos;1.2
Acceso a tecnología;1.2
Políticas públicas inclusivas;1.2
Aceleración del crecimiento económico;1.2
Sostenibilidad económica y social;1.2
Dignidad humana en la economía.;1.2
Protección social;1.3
Medidas sociales;1.3
Pisos de protección social;1.3
Vulnerabilidad;1.3
Cobertura universal;1.3
Acceso igualitario;1.3
Bienestar social;1.3
Redistribución de recursos;1.3
Políticas públicas inclusivas;1.3
Derechos sociales;1.3
Seguridad económica;1.3
Asistencia social;1.3
Desarrollo humano sostenible;1.3
Equidad social;1.3
Acceso a servicios básicos;1.3
Acceso a la salud;1.3
Acceso a la educación;1.3
Garantía de ingresos mínimos;1.3
Lucha contra la pobreza infantil;1.3
Garantía de protección social a lo largo del ciclo de vida.;1.3
Derechos económicos;1.4
Igualdad de acceso;1.4
Inclusión financiera;1.4
Acceso a recursos;1.4
Propiedad de la tierra;1.4
Control de recursos naturales;1.4
Acceso a servicios financieros;1.4
Herencia;1.4
Tecnologías apropiadas;1.4
Microfinanciación;1.4
Empoderamiento económico;1.4
Justicia económica;1.4
Acceso a servicios básicos;1.4
Equidad de género;1.4
Inclusión social;1.4
Acceso igualitario;1.4
Lucha contra la desigualdad;1.4
Acceso a la educación;1.4
Acceso a la atención médica;1.4
Dignidad humana.;1.4
Resiliencia;1.5
Vulnerabilidad;1.5
Pobreza extrema;1.5
Cambio climático;1.5
Choques económicos;1.5
Adaptación climática;1.5
Reducción del riesgo de desastres;1.5
Desarrollo sostenible;1.5
Gestión de riesgos;1.5
Innovación tecnológica;1.5
Inversión en infraestructuras;1.5
Acción climática;1.5
Mejora de la capacidad de respuesta;1.5
Protección social;1.5
Sistemas de alerta temprana;1.5
Seguridad alimentaria;1.5
Planificación urbana;1.5
Acceso a servicios básicos;1.5
Acceso a información;1.5
Coordinación institucional.;1.5
Recursos financieros;1.a
Cooperación internacional;1.a
Desarrollo sostenible;1.a
Capacidad nacional;1.a
Recaudación de impuestos;1.a
